Name of Facility,Province,City/Municipality,Address
MALAY MUNICIPAL HEALTH OFFICE CLINICAL LABORATORY,Aklan,Malay,Poblacion
MALAY MUNICIPAL HEALTH OFFICE ANNEX CLINICAL LABORATORY,Aklan,Malay,Balabag
MIGUEL O.CALIZO MEDICAL LABORATORY,Aklan,Balete,Poblacion
MUNICIPAL ECONOMIC ENTERPRISE DEVELOPMENT OFFICE,Aklan,New Washington,Poblacion
CULASI RURAL HEALTH UNIT LABORATORY,Antique,Culasi,Poblacion Centro
HAMTIC MUNICIPAL DIAGNOSTIC LABORATORY,Antique,Hamtic,Lapaz
LAUA-AN MUNICIPAL DIAGNOSTIC LABORATORY,Antique,Laua-an,Poblacion
TIBIAO MUNICIPAL DIAGNOSTIC CENTER,Antique,Tibiao,Poblacion
SIBALOM MUNICIPAL DIAGNOSTIC LABORATORY,Antique,Sibalom,District II
VALDERAMA MUNICIPAL HEALTH MATERNITY AND DIAGNOSTIC CENTER,Antique,Valderrama,Brgy. Ubos
ROXAS CITY HEALTH LABORATORY,Capiz,Roxas City,Inzo Arnaldo
ROXAS MEMORIAL PROVINCIAL HOSPITAL OUT-PATIENT DEPARTMENT LABORATORY,Capiz,Roxas City,Brgy. Lanot
Dingle LGU Laboratory,Iloilo,Dingle,Poblacion
IGBARAS CLINICAL LABORATORY,Iloilo,Igbaras,Brgy. I. Poblacion
JANIUAY RHU CLINICAL LABORATORY,Iloilo,Janiuay,Locsin
MINA LABORATORYAND MEDICAL CLINICA,Iloilo,Mina,Mina West
PAVIA HEALTH CENTER CLINICAL LABORATORY,Iloilo,Pavia,Purok III
SAN JOAQUIN RURAL HEALTH LABORATORY,Iloilo,San Joaquin,Brgy. 3 Poblacion
SARA LGU LABORATORY,Iloilo,Sara,Poblacion Market
UPV-HEALTH SERVICE UNIT DIAGNOSTIC CENTER,Iloilo,Miagao,Brgy. Mat-Y
ILOILO PROVINCIAL CLINICAL LABORATORY,Iloilo,Iloilo City,President Roxas
ESCALANTE CITY CLINICAL LABORATORY,Negros Occidental,Escalante City,Balintawak
LA CARLOTA CITY HEALTH OFFICE LABORATORY,Negros Occidental,La Carlota City,Brgy. I
MUNICIPALITY OF PONTEVEDRA CLINICAL LABORATORY,Negros Occidental,Pontevedra,Brgy. I
MURCIA HEALTH OFFICE CLINICAL LABORATORY,Negros Occidental,Murcia,Zone III
VICTORIAS CITY HEALTH CLINICAL LABORATORY,Negros Occidental,,Brgy. IV
BACOLOD CITY HEALTH CLINICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. 20
SAN ENRIQUE CLINICAL LABORATORY,Negros Occidental,Iloilo,San Enrique
ARMIZA CLINICAL LABORATORY,Aklan,Ibajay,Poblacion
BIOFERA MEDICAL DIAGNOSTIC CLINIC,Aklan,Ibajay,Agbago
"BORACAY ALERT MEDICAL CLINIC AND DIAGNOSTIC, INC.",Aklan,Malay,Balabag
LABCARE LABORATORY AND DRUG TESTING CENTER,Aklan,Kalibo,Poblacion
MEDEXPRESS MEDICAL AND DIAGNOSTIC CENTER,Aklan,Malay,Balabag
MEDWAY POLYCLINIC,Aklan,Kalibo,Poblacion
MMG-AKLAN SPECIALTY CLINIC,Aklan,Kalibo,Poblacion
MRD LABORATORYAND DIAGNOSTIC CENTER,Aklan,Malay,Kanyugan
SCANDI MEDICAL CLINIC AND DIAGNOSTIC CENTER,Aklan,Malay,Balabag
STO. NIÑO MEDICAL AND LABORATORY SERVICES,Aklan,Altavas,Poblacion
SUMMI DUCIS DIAGNOSTICA CORPORATION,Aklan,Kalibo,Poblacion
TJMC MEDICAL AND DIAGNOSTIC CENTER,Aklan,Malay,Balabag
"VICENTE-ISABEL MULTISPECIALTY CLINIC AND DIAGNOSTIC CENTER, INC.",Aklan,Malay,Balabag
ANDRES CLINICAL LABORATORY,Antique,Culasi,Centro Poblacion
ANTIQUE MEDICWORLD CLINICALLABORATORY,Antique,San Jose de Buenavista,Atabay
ANTIQUE PRIMEHEALTH SPECIALTY CLINICS AND DIAGNOSTIC CENTER CORPORATION,Antique,San Jose de Buenavista,Atabay
