NAME OF CLINIC,COMPLETE ADDRESS
"CENTER FOR RENAL REPLACEMENT THERAPY, INC. ","Unit 2,4 & 27 G/F City Time Square Benigno Aquino Ave., Brgy. San Rafael Mandurriao, Iloilo City, Iloilo"
FREMONT RENAL CARE AND MEDICAL CLINIC,"78 Hechanova St., Brgy. Nabitasan, Lapaz, Iloilo City"
"HARTMAN DIALYSIS CENTER, INC.","Uy-Bico Bldg., Yulo St.B191:D194, Iloilo City"
"M-3 DIALYSIS CENTER, INC","Brgy. San Agustin, Iloilo City"
"MDSS CROSSWAY KIDNEY CARE, INC.","GF Units A16-A18 Festive Walk Parade 1 - B, Iloilo Business Park, Brgy. Taft North, Mandurriao, Iloilo City"
MEDICUS HEALTHCARE PLAZA HEMODIALYSIS CENTER,"Donato Pison Avenue, Brgy. San Rafael, Mandurriao, Iloilo City"
NEFRON DIALYSIS CENTER,"Simeon Aguilar St., Poblacion Ilawod, Passi City, Iloilo City"
"NEPHRO SYNERGIES, INC.","The Medical City-Iloilo, Locsin St., Molo, Iloilo City"
"RENAL SPECIALTY, INC","Dungon A Jaro, Iloilo City, Iloilo"
RENAL SPECIALTY INC.,"corner E.Lopez-Javellana St., Bgy San Jose, Iloilo City"
The USWAG ILOILO DIALYSIS CENTER ,"Lopez Jaenaa, East Baluarte, Iloilo City, Iloilo"
FRONTHUB DIALYSIS CENTER ,"3rd Floor, R&T Bldg., Corner Commonwealth Drive & Simeon Aguilar St., Poblacion Ilawod, Passi City, Iloilo"
D & E DIALYSIS CENTER,"Tambis St., Brgy. Tiza, Roxas City, Capiz"
PHOENICIAN DIALYSIS CENTERS ,"Arnaldo Boulevard, Brgy. Baybay, Roxas City, Capiz"
"M-3 DIALYSIS CENTER, INC","Tindalo-Lopez Jaena Sts., Brgy. Villamonte, Bacolod City, Negros Occidental"
"M-3 DIALYSIS CENTER, INC.","Nord Medical Hub, BS Aquino Drive, Brgy. Villamonte, Bacolod city, Negros Occidental"
"NEPHRO GROUP DIALYSIS CENTER, INC ","Door 106-109, 204-207 Vecino Bldg., Lacson St., Bacolod City"
"PREMIER NEPHRO CARE SYSTEM, INC.","3rd St. Lacson, Brgy. 17, Bacolod City, Negros Occidental"
"RENAL THERAPY SOLUTIONS, INC. ","3rd- Lacson St., Brgy. 17, Bacolod City, Negros Occidental"
"THE RIVERSIDE MEDICAL CENTER, INC.","SM City (South Wing), Luzuriaga St., Brgy. 12, Bacolod City, Negros Occidental"
"CADIZ DIALYSIS HUB, INC.","Magsaysay St, Zone 3, Cadiz City, Negros Occidental"
"ARCHANGEL RAPHAEL DIALYSIS CENTER, INC","National Highway, 2014 JC, Sitio Mohon, Brgy. Binicuil, Kabankalan City, Negros Occidental"
SILAY KIDNEY AND DIALYSIS CENTER CORP. ,"Unit 8, Mallery Bldg., Jalandoni, brgy. Lantad, Silay City, Negros Occidental"
HMOM MEDICAL SPECIALTY CENTER,"Lot 6 Nlk. 3, Miramar Subd., Zone 15, Talisay City, Negros Occidental"
VICTORIAS CITY HEALTH HEMODIALYSIS CENTER ,"Montinola St., Brgy. IV, Victorias City, Negros Occidental"
