REGION,CHD,PROVINCE,CITY/ MUNICIPALITY,COMPLETE ADDRESS,OWNERSHIP,NAME OF FACILITY,SERVICES,CONTACT NO.,EMAIL ADDRESS,MEDICAL DIRECTOR,VALIDITY
REGION 1,ILOCOS,ILOCOS NORTE,San Nicolas,"National Highway, Brgy. 19, San Lorenzo, San Nicolas, Ilocos Norte",PVT,ILOCOS MEDICAL & HEALTH MULTI-PURPOSE COOPERATIVE,Ophthalmologic,077-7720287 / 0998-5301987,,Dr. Bienvenido D. Romero,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 1,ILOCOS,LA UNION,San Fernando City,"2nd Floor Lorma Medical Center, Km. 261, North Road, Carlatan, City of San Fernando, La Union",PVT,LA UNION KIDNEY STONE AND PROSTATE CENTER INC. ,Urologic,072-7000000 loc 614 /0915-6658705,lormaluks@gmail.com,Dr. Reynaldo A. Aguinaldo,"April 6, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,LA UNION,San Fernando City,"Bethany Hospital, Inc., Widdoes ST., San Fernando City, La Union",PVT,PHILIPPINE ONCOLOGY CENTER CORPORATION,General Surgery,072-8881803,,Dr. Michelle G. Melendez,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,PANGASINAN,Alaminos City,"Quezon Avenue, Poblacion Alaminos City, Pangasinan",PVT,PANGASINAN EYE CENTER ALAMINOS,Ophthalmologic,0917-5052020,,Dr. Cheryll C. de Jesus,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 1,ILOCOS,PANGASINAN,Urdaneta City,"McArthur Highway, Poblacion, Urdaneta City, Pangasinan",PVT,PANGASINAN EYE CENTER URDANETA,Ophthalmologic,075-5926155 / 0917-5052020,peec_eyecenter@yahoo.com,Dr. Junn R. Pajarillo,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,PANGASINAN,San Carlos City,"#86 Rizal Ave., San Carlos City, Pangasinan",PVT,SAN CARLOS EYE CENTER,Ophthalmologic,0925-7262439,sanchezeyecliic@yahoo.com/sancarloseyeclinic@yahoo.com,Dr. Aurio Trancy C. Sanchez,"Dec. 29, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,PANGASINAN,Malasiqui,"133 2/F Doria Bldg., Gomez, Malasiqui, Pangasinan",PVT,SINAIYAH EYE CENTER INC.,Ophthalmologic,9488283343,dblueyondered@gmail.com,Dr. Joselito Espinosa,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,PANGASINAN,Natividad,"Canarem, Natividad, Pangasinan",PVT,DR. LEO S. MANUEL EYE CARE CENTER,Ophthalmologic,,,,"Mar. 17, 2023 to Dec. 31, 2025"
REGION 1,ILOCOS,PANGASINAN,Binmaley,"Naguilayan, Binmaley, Pangasinan",PVT,ST. LUCY'S CATARACT AND LASER EYE CENTER,Ophthalmologic,(075) 543-4484 / 632-3593,,Dr. Aurora Urmaza,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 1,ILOCOS,PANGASINAN,San Fabian,"Brgy. Bolasi, San Fabian, Pangasinan",PVT,"THE GUILLERMO B. DE VENECIA EYE CENTER, INC.",Ophthalmologic,075-6328763 / 0925-5217827,gigi@deseretoptical.com,Dr. Joshua Elmer Dungca,"Jan. 1, 2022 to Dec. 31, 2024"
