REGION,CHD,PROVINCE,CITY,COMPLETE ADDRESS,OWNERSHIP,NAME OF CLINIC,NO. OF STATION,HEAD OF THE FACILITY,CONTACT NUMBER,VALIDITY
REGION 1,ILOCOS,ILOCOS NORTE,,"Unit 7 Bldg. A Valdez Center. National Highway, San Nicolas, Ilocos Norte",PVT,NORTHERN RENAL HEALTH INC.,13,Dr. Kristianne Rachel P. Medina-Liabres,09609353030/09171262028,"Nov. 19, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,ILOCOS NORTE,,"Bonoan St., Brgy. 2, San Baltazar, San Nicolas, Ilocos Norte",PVT,"NEPHROLOGY CENTER OF ILOCOS NORTE DIALYSIS, INC.",12,Dr. Oliver Nicolas P. Mabanag,077-6771923/09120565956/3512311/3767148,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,ILOCOS NORTE,Laoag City,"Domingo Samonte corner Z. Flores Streets, Brgy. 6 San Agustin, Laoag City, Ilocos Norte",PVT,ILOCOS KIDNEY PLUS DIALYSIS CENTER,22,Dr. Ofelia Dela Cruz- Datu,077-6707720/09399182814/09473255074,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,ILOCOS NORTE,Laoag City,"Karmelli Clinic and Hosptial, #2 Legaspi St., Brgy. 29, Laoag City, Ilocos Norte",PVT,ST. MARTIN DE PORRES RENAL CARE CENTER,16,Dr. Norman Panfilo G. Rabago,09178384538/077-6003329,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 1,ILOCOS,ILOCOS SUR,,"Sitio, Limmansangan North, Narvacan, Ilocos Sur",PVT,RENALTECH DIALYSIS CENTER,11,Dr. Mary Josephine C. Baroña,09175970190/09178190531,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,ILOCOS SUR,,"JTC Mall Central, Del Pilar, Tagudin, Ilocos Sur",PVT,LORMA LIFECHECK CLINIC,10,Dr. Mario T. Bautista,09178673638/072-7000600 loc 122/077-6320293/09178695641,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,ILOCOS SUR,,"Las-ud, Tagudin, Ilocos Sur",PVT,TAGUDIN MEDICAL DIAGNOSTIC CENTER,6,Dr. Virginia Mangati,077-6741242/09173392584/077-6320330/09563922703,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,LA UNION,,"La Union Medical Center, Brgy. Nazareno, Agoo, La Union",PVT,FRESENIUS KIDNEY CARE,12,Dr. Francisco Ontalan Iii,072-6083827 / 0917-8468046,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 1,ILOCOS,LA UNION,,"Rosario, First Town Mall, Bgry. Concepcion, Rosario, La Union",PVT,AVITUS LA UNION KIDNEY CARE AND DIALYSIS CENTER CORP.,15,Dr. Anne Rhea Selga Dacayanan,9175345111,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,LA UNION,"San Fernando City, La Union","65 National Hignway, Carlatan, San Fernando City, La Union",PVT,LA-UNION CENTER FOR KIDNEY DISEASES,6,Dr. Maricar Josephine Geronimo,072-6193201,"July 20, 2020 to Dec. 31, 2022"
REGION 1,ILOCOS,LA UNION,"San Fernando City, La Union","National Highway, Catbangen, San Fernando City, La Union",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,24,Dr. Anne Rea S. Dacayanan,9175345111,"Aug. 13, 2020 to Dec. 31, 2022"
REGION 1,ILOCOS,LA UNION,"San Fernando City, La Union","Bethany Hospital Compd., Widdoes St., Brgy. II, San Fernando, La Union",PVT,FRESENIUS KIDNEY CARE,12,Dr. Charmaine Joy M. Almojuela,072-6194792,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 1,ILOCOS,PANGASINAN,,"Quezon Boulevard, Poblacion Sur, Bayambang, Pangasinan",PVT,"ST. VINCENT HEALTHCARE, INC.",10,Dr. Abraham T. Coquia,075-6339948/09560739439/09212873485/09175084212,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,PANGASINAN,,"Barangay Bued, Binalonan, Pangasinan",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,18,Dr. Shari Ann Atanacio,09176237474/09205870524/09778564294/09175345111/09176537821,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,PANGASINAN,,"San Isidro Sur, Binmaley, Pangasinan",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",12,Dr. Kristine Ynzon Fernandez,9175152631,"Jan. 23, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,PANGASINAN,,"18 Romulo Highway, Socony, Bugallon, Pangasinan",PVT,SOCONY MEDICAL GROUP INC.,12,Dr. Elizabeth B. Estoesta,09178159850/09205696536/09179387316/075-6003701,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,PANGASINAN,,"Solis Street, Brgy. Poblacion, Lingayen, Pangasinan",PVT,AVITUS PANGASINAN DIALYSIS CENTER CORP.,12,Dr. Carlo Nemesio B. Trinidad,09175345111 /,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,PANGASINAN,,"#133 1/F DoriaBldg., Brgy. Gomez, Malasiqui, Pangasinan",PVT,"INFINI CARE HEALTH SYSTEMS, INC.",8,Dr. Elizabeth B. Estoesta,09257778641/075-6326941/09123250038/09753833374,"Jan. 1, 2022 to Dec. 31, 2024"
