name,health-resource,address,lat,long
BOTICA XANDRIA,pharmacy,"Barangay Poblacion, Cauayan, Negros Occidental, Negros Island Region, 6112, Cauayan, Negros Occidental",,
PRIM PHARMACY,pharmacy,"Maasin Public Market, Maasin, Iloilo, Cordillera Administrative Region (CAR), 5030, Maasin, Iloilo",,
GENERIKA DRUGSTORE,pharmacy,"Prince Hypermart, Araneta St., Brgy. Poblacion, Bago, Negros Occidental, Negros Island Region, 6101, Bago, Negros Occidental",,
FAMILYHEALTH &amp; BEAUTY CORP.,pharmacy,"G/F City Mall San Carlos, Brgy. II, , San Carlos, Negros Occidental, National Capital Region, 6127, San Carlos, Negros Occidental",,
MARCH PHARMACY,pharmacy,"Yunque Street, Barangay III Poblacion, La Carlota, Negros Occidental, National Capital Region, 6130, La Carlota, Negros Occidental",,
PRUDENTE PHARMACY,pharmacy,"Poblacion Ilaya Lambunao Iloilo, LAMBUNAO, ILOILO",,
C and A Franco Pharmacy,pharmacy,"Brgy. Poblacion, Tibiao, Antique",,
RENAL SPECIALTY INC,pharmacy,"CORNER JAVELLANA- E. LOPEZ ST., JARO, Iloilo, Iloilo",,
DEGALA PHARMACY,pharmacy,"Poblacion Sur, Ivisan, Capiz",,
YLL Pharmacy and Medical Supplies,pharmacy,"Gov. Villavert St., San Jose, Antique",,
BERMEJO DRUGSTORE,pharmacy,"RIZAL ST., POBLACION ILAWOD, Pontevedra, Capiz",,
Joyrich Pharmacy,pharmacy,"Bagumbayan, Pandan, Antique",,
RCJ Pharmacy,pharmacy,"Sitio Sibucao, Brgy. Semirara, Caluya, Sibalom, Antique",,
Farmacia Tupas,pharmacy,"ADB rd, Brgy san Pedro, Molo,, Iloilo, Iloilo",,
GALIDO PHARMACY,pharmacy,"Bagumbayan Pandan, Pandan, Antique",,
RJL Pharmacy and Medical Clinic,pharmacy,"2025 Perlas Bldg., Mabini Street, Poblacion, Kalibo, Aklan",,
GRACE MED PHARMACY,pharmacy,"NEW HAMTIC PUBLIC MARKET, Hamtic, Antique",,
GEN'S DRUG STATION BOTIKA NG BAYAN,pharmacy,"Pob. Public Market, Ilawod, Pontevedra, Capiz",,
FOURMULA 1+ BOTIKA NG BAYAN (F1+BNB),pharmacy,"Poblacion Norte, Sigma, Capiz",,
ROXAS MEMORIAL PROVINCIAL HOSPITAL,pharmacy,"BRGY. LANOT, Roxas, Capiz",,
Sara Village Pharmacy,pharmacy,"Barangay Anoring, Sara, Iloilo",,
ST. PETER'S PHARMACY,pharmacy,"ZONE 14, BARANGAY CALAPARAN AREVALO, Iloilo City, Iloilo",,
PANIZA DRUGSTORE,pharmacy,"Public Market, Stall No. 8,  Brgy. Poblacion, New Lucena, Iloilo",,
ALISONZ PHARMACY,pharmacy,"Public Market, Poblacion Ilaya, Dumarao, Capiz, Western Visayas (Region VI), 5812, Dumarao, Capiz",,
RH MEDHEALTH MEDICAL SUPPLIES TRADING,pharmacy,"DOOR #8 WJJ BUILDING GUADALOPE, ALIJIS, Bacolod City, Negros Occidental",,
MILA'S PHARMACY,pharmacy,"RC LAGTAPON ST., BRGY IV-POBLACION, Hinigaran, Negros Occidental",,
SUKIJAH PHARMACY,pharmacy,"F. PARCON STREET, BARANGAY F. PARCON WARD, Pototan, Iloilo",,
HOLISTIC HEALTH PHARMACLINICS CO.,pharmacy,"Ground Floor, RBG Bldg., #19 Jalandoni St., Brgy. Hipodromo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
Tayco Drugstore,pharmacy,"J. RIZAL STREET, POBLACION KALIBO, Kalibo, Aklan",,
Vince's Pharma and Medical Supplies Trading,pharmacy,"Block 1 Lot 3 DC3 Alijis, Bacolod City, Negros Occidental",,
NJP PHARMACY,pharmacy,"Stall # 6 Miagao Public Market, Legaspi St., Miagao, Iloilo, Western Visayas (Region VI), 5023, Miagao, Iloilo",,
Medicruz Pharmacy,pharmacy,"Brgy. Rizal Pala-Pala II, District of City Proper, Iloilo City, Iloilo",,
"MerryMart Grocery Centers, Inc.",pharmacy,"Citymall, Roxas Avenue, Barangay X, Roxas City, Capiz",,
"MerryMart Grocery Centers, Inc.",pharmacy,"Citymall, Barangay Ungka II, Pavia, Iloilo",,
BERLIN PLUS PHARMACY,pharmacy,"Brgy. Montinola, Mission Road, Jaro, Iloilo City, Iloilo",,
MEDSERVE PHARMACY,pharmacy,"BARANGAY NEW POBLACION, Buenavista, Guimaras",,
AKLAN POLYCLINIC &amp; DRUGSTORE,pharmacy,"GODING RAMOS ST., POBLACION, Kalibo, Aklan",,
Mercury Drug,pharmacy,"Northpoint, Atrium Bldg., B.S. Aquino Drive, Villamonte, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental",,
"Elizhen Trading &amp; Pharmacy, Inc.",pharmacy,"Purok 3, Barangay Dancalan, Ilog, Negros Occidental",,
BEAZ PHARMACY &amp; MEDICAL CLINIC,pharmacy,"J. T. Bretana St.,  Ilaya Pob., Barotac Nuevo, Iloilo, Western Visayas (Region VI), 5007, Barotac Nuevo, Iloilo",,
LINGPAU DRUGSTORE,pharmacy,"Poblacion (Elizalde), President Roxas, Capiz, Western Visayas (Region VI), 5803, President Roxas, Capiz",,
KM'S DRUGSTORE,pharmacy,"Perimeter Blk. #24, Nichols Aguilar Mall, Brgy. Poblacion I, Sagay City, Negros Occidental",,
APOTHECO DRUGMART,pharmacy,"AGUILAR ST., BRGY IV - POBLACION, Hinigaran, Negros Occidental",,
SOUTH STAR DRUG,pharmacy,"Bagumbayan, Barangay 8, San Jose de Buenavista, Antique",,
KCF PHARMACY,pharmacy,"Brgy. Mojon, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental",,
OMNIHEALTH PHARMA AND MEDICAL SUPPLIES TRADING,pharmacy,"Barangay Magsaysay Village, La paz, Iloilo City, Iloilo",,
Tibiao Drug,pharmacy,"Susana Bldg T.A. Fornier St Brgy 6, San Jose , Antique",,
