name,health-resource,address,lat,long
BOTICA XANDRIA,pharmacy,"Barangay Poblacion, Cauayan, Negros Occidental, Negros Island Region, 6112, Cauayan, Negros Occidental",9.9713111,122.6235064
PRIM PHARMACY,pharmacy,"Maasin Public Market, Maasin, Iloilo, Cordillera Administrative Region (CAR), 5030, Maasin, Iloilo",10.8914767,122.4333105
GENERIKA DRUGSTORE,pharmacy,"Prince Hypermart, Araneta St., Brgy. Poblacion, Bago, Negros Occidental, Negros Island Region, 6101, Bago, Negros Occidental",10.503405,122.9663018
FAMILYHEALTH &amp; BEAUTY CORP.,pharmacy,"G/F City Mall San Carlos, Brgy. II, , San Carlos, Negros Occidental, National Capital Region, 6127, San Carlos, Negros Occidental",10.4837342,123.4128956
MARCH PHARMACY,pharmacy,"Yunque Street, Barangay III Poblacion, La Carlota, Negros Occidental, National Capital Region, 6130, La Carlota, Negros Occidental",10.4117687,123.000095
PRUDENTE PHARMACY,pharmacy,"Poblacion Ilaya Lambunao Iloilo, LAMBUNAO, ILOILO",11.0553514,122.4665384
C and A Franco Pharmacy,pharmacy,"Brgy. Poblacion, Tibiao, Antique",11.2953463,122.0585226
RENAL SPECIALTY INC,pharmacy,"CORNER JAVELLANA- E. LOPEZ ST., JARO, Iloilo, Iloilo",10.7194991,122.5602461
DEGALA PHARMACY,pharmacy,"Poblacion Sur, Ivisan, Capiz",11.5182603,122.6913107
YLL Pharmacy and Medical Supplies,pharmacy,"Gov. Villavert St., San Jose, Antique",10.7458013,121.9419544
BERMEJO DRUGSTORE,pharmacy,"RIZAL ST., POBLACION ILAWOD, Pontevedra, Capiz",11.417207,122.8761309
Joyrich Pharmacy,pharmacy,"Bagumbayan, Pandan, Antique",11.7297456,122.0887154
RCJ Pharmacy,pharmacy,"Sitio Sibucao, Brgy. Semirara, Caluya, Sibalom, Antique",12.064276,121.3913253
Farmacia Tupas,pharmacy,"ADB rd, Brgy san Pedro, Molo,, Iloilo, Iloilo",10.698409,122.5464662
GALIDO PHARMACY,pharmacy,"Bagumbayan Pandan, Pandan, Antique",11.7297456,122.0887154
RJL Pharmacy and Medical Clinic,pharmacy,"2025 Perlas Bldg., Mabini Street, Poblacion, Kalibo, Aklan",11.7065568,122.3670166
GRACE MED PHARMACY,pharmacy,"NEW HAMTIC PUBLIC MARKET, Hamtic, Antique",10.7068973,121.9754876
GEN'S DRUG STATION BOTIKA NG BAYAN,pharmacy,"Pob. Public Market, Ilawod, Pontevedra, Capiz",11.4135757,122.8831699
FOURMULA 1+ BOTIKA NG BAYAN (F1+BNB),pharmacy,"Poblacion Norte, Sigma, Capiz",11.4231794,122.6651831
ROXAS MEMORIAL PROVINCIAL HOSPITAL,pharmacy,"BRGY. LANOT, Roxas, Capiz",11.5238822,122.7548364
Sara Village Pharmacy,pharmacy,"Barangay Anoring, Sara, Iloilo",11.2587906,123.0198024
ST. PETER'S PHARMACY,pharmacy,"ZONE 14, BARANGAY CALAPARAN AREVALO, Iloilo City, Iloilo",10.679854,122.5266668
PANIZA DRUGSTORE,pharmacy,"Public Market, Stall No. 8,  Brgy. Poblacion, New Lucena, Iloilo",10.8729712,122.5712101
ALISONZ PHARMACY,pharmacy,"Public Market, Poblacion Ilaya, Dumarao, Capiz, Western Visayas (Region VI), 5812, Dumarao, Capiz",11.2421989,122.695547
RH MEDHEALTH MEDICAL SUPPLIES TRADING,pharmacy,"DOOR #8 WJJ BUILDING GUADALOPE, ALIJIS, Bacolod City, Negros Occidental",10.6358116,122.9563712
MILA'S PHARMACY,pharmacy,"RC LAGTAPON ST., BRGY IV-POBLACION, Hinigaran, Negros Occidental",10.2734066,122.8514587
SUKIJAH PHARMACY,pharmacy,"F. PARCON STREET, BARANGAY F. PARCON WARD, Pototan, Iloilo",10.9419396,122.6387257
HOLISTIC HEALTH PHARMACLINICS CO.,pharmacy,"Ground Floor, RBG Bldg., #19 Jalandoni St., Brgy. Hipodromo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",10.6967168,122.5618214
Tayco Drugstore,pharmacy,"J. RIZAL STREET, POBLACION KALIBO, Kalibo, Aklan",11.707306,122.3626751
Vince's Pharma and Medical Supplies Trading,pharmacy,"Block 1 Lot 3 DC3 Alijis, Bacolod City, Negros Occidental",10.6737988,122.9530372
NJP PHARMACY,pharmacy,"Stall # 6 Miagao Public Market, Legaspi St., Miagao, Iloilo, Western Visayas (Region VI), 5023, Miagao, Iloilo",10.6401018,122.2359652
Medicruz Pharmacy,pharmacy,"Brgy. Rizal Pala-Pala II, District of City Proper, Iloilo City, Iloilo",10.6921538,122.5627113
"MerryMart Grocery Centers, Inc.",pharmacy,"Citymall, Roxas Avenue, Barangay X, Roxas City, Capiz",11.5753201,122.7532634
"MerryMart Grocery Centers, Inc.",pharmacy,"Citymall, Barangay Ungka II, Pavia, Iloilo",10.753039,122.5358599
BERLIN PLUS PHARMACY,pharmacy,"Brgy. Montinola, Mission Road, Jaro, Iloilo City, Iloilo",10.7151882,122.5623597
MEDSERVE PHARMACY,pharmacy,"BARANGAY NEW POBLACION, Buenavista, Guimaras",10.7050618,122.6418745
AKLAN POLYCLINIC &amp; DRUGSTORE,pharmacy,"GODING RAMOS ST., POBLACION, Kalibo, Aklan",11.7049583,122.3638896
