Name of Establishment,Address
BOTICA XANDRIA,"Barangay Poblacion, Cauayan, Negros Occidental, Negros Island Region, 6112, Cauayan, Negros Occidental"
PRIM PHARMACY,"Maasin Public Market, Maasin, Iloilo, Cordillera Administrative Region (CAR), 5030, Maasin, Iloilo"
GENERIKA DRUGSTORE,"Prince Hypermart, Araneta St., Brgy. Poblacion, Bago, Negros Occidental, Negros Island Region, 6101, Bago, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"G/F City Mall San Carlos, Brgy. II, , San Carlos, Negros Occidental, National Capital Region, 6127, San Carlos, Negros Occidental"
MARCH PHARMACY,"Yunque Street, Barangay III Poblacion, La Carlota, Negros Occidental, National Capital Region, 6130, La Carlota, Negros Occidental"
PRUDENTE PHARMACY,"Poblacion Ilaya Lambunao Iloilo, LAMBUNAO, ILOILO"
C and A Franco Pharmacy,"Brgy. Poblacion, Tibiao, Antique"
RENAL SPECIALTY INC,"CORNER JAVELLANA- E. LOPEZ ST., JARO, Iloilo, Iloilo"
DEGALA PHARMACY,"Poblacion Sur, Ivisan, Capiz"
YLL Pharmacy and Medical Supplies,"Gov. Villavert St., San Jose, Antique"
BERMEJO DRUGSTORE,"RIZAL ST., POBLACION ILAWOD, Pontevedra, Capiz"
Joyrich Pharmacy,"Bagumbayan, Pandan, Antique"
RCJ Pharmacy,"Sitio Sibucao, Brgy. Semirara, Caluya, Sibalom, Antique"
Farmacia Tupas,"ADB rd, Brgy san Pedro, Molo,, Iloilo, Iloilo"
GALIDO PHARMACY,"Bagumbayan Pandan, Pandan, Antique"
RJL Pharmacy and Medical Clinic,"2025 Perlas Bldg., Mabini Street, Poblacion, Kalibo, Aklan"
GRACE MED PHARMACY,"NEW HAMTIC PUBLIC MARKET, Hamtic, Antique"
GEN'S DRUG STATION BOTIKA NG BAYAN,"Pob. Public Market, Ilawod, Pontevedra, Capiz"
FOURMULA 1+ BOTIKA NG BAYAN (F1+BNB),"Poblacion Norte, Sigma, Capiz"
ROXAS MEMORIAL PROVINCIAL HOSPITAL,"BRGY. LANOT, Roxas, Capiz"
Sara Village Pharmacy,"Barangay Anoring, Sara, Iloilo"
ST. PETER'S PHARMACY,"ZONE 14, BARANGAY CALAPARAN AREVALO, Iloilo City, Iloilo"
PANIZA DRUGSTORE,"Public Market, Stall No. 8,  Brgy. Poblacion, New Lucena, Iloilo"
ALISONZ PHARMACY,"Public Market, Poblacion Ilaya, Dumarao, Capiz, Western Visayas (Region VI), 5812, Dumarao, Capiz"
RH MEDHEALTH MEDICAL SUPPLIES TRADING,"DOOR #8 WJJ BUILDING GUADALOPE, ALIJIS, Bacolod City, Negros Occidental"
MILA'S PHARMACY,"RC LAGTAPON ST., BRGY IV-POBLACION, Hinigaran, Negros Occidental"
SUKIJAH PHARMACY,"F. PARCON STREET, BARANGAY F. PARCON WARD, Pototan, Iloilo"
HOLISTIC HEALTH PHARMACLINICS CO.,"Ground Floor, RBG Bldg., #19 Jalandoni St., Brgy. Hipodromo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
Tayco Drugstore,"J. RIZAL STREET, POBLACION KALIBO, Kalibo, Aklan"
Vince's Pharma and Medical Supplies Trading,"Block 1 Lot 3 DC3 Alijis, Bacolod City, Negros Occidental"
NJP PHARMACY,"Stall # 6 Miagao Public Market, Legaspi St., Miagao, Iloilo, Western Visayas (Region VI), 5023, Miagao, Iloilo"
Medicruz Pharmacy,"Brgy. Rizal Pala-Pala II, District of City Proper, Iloilo City, Iloilo"
"MerryMart Grocery Centers, Inc.","Citymall, Roxas Avenue, Barangay X, Roxas City, Capiz"
"MerryMart Grocery Centers, Inc.","Citymall, Barangay Ungka II, Pavia, Iloilo"
BERLIN PLUS PHARMACY,"Brgy. Montinola, Mission Road, Jaro, Iloilo City, Iloilo"
MEDSERVE PHARMACY,"BARANGAY NEW POBLACION, Buenavista, Guimaras"
AKLAN POLYCLINIC &amp; DRUGSTORE,"GODING RAMOS ST., POBLACION, Kalibo, Aklan"
Mercury Drug,"Northpoint, Atrium Bldg., B.S. Aquino Drive, Villamonte, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
"Elizhen Trading &amp; Pharmacy, Inc.","Purok 3, Barangay Dancalan, Ilog, Negros Occidental"
BEAZ PHARMACY &amp; MEDICAL CLINIC,"J. T. Bretana St.,  Ilaya Pob., Barotac Nuevo, Iloilo, Western Visayas (Region VI), 5007, Barotac Nuevo, Iloilo"
LINGPAU DRUGSTORE,"Poblacion (Elizalde), President Roxas, Capiz, Western Visayas (Region VI), 5803, President Roxas, Capiz"
KM'S DRUGSTORE,"Perimeter Blk. #24, Nichols Aguilar Mall, Brgy. Poblacion I, Sagay City, Negros Occidental"
APOTHECO DRUGMART,"AGUILAR ST., BRGY IV - POBLACION, Hinigaran, Negros Occidental"
SOUTH STAR DRUG,"Bagumbayan, Barangay 8, San Jose de Buenavista, Antique"
KCF PHARMACY,"Brgy. Mojon, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
OMNIHEALTH PHARMA AND MEDICAL SUPPLIES TRADING,"Barangay Magsaysay Village, La paz, Iloilo City, Iloilo"
Tibiao Drug,"Susana Bldg T.A. Fornier St Brgy 6, San Jose , Antique"
CJS PHARMACY,"Commercial Zone, Brgy. Minapasuk, Calatrava, Negros Occidental"
CLAIRON'S PHARMACY,"10th St., St. Vincent Subd., Brgy. I, San Carlos City, Negros Occidental"
PANIZA PHARMACY,"SN 32 Brgy. Cabalabaguan, Mina Public Market, Mina, Iloilo"
THE GENERICS PHARMACY,"Guanzon Corner Coloso St., Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
FARMACIA NI DOK,"GROUND FLOOR SUNFLOWER RESORT, BRGY. BALABAG, BORACAY ISLAND, Malay, Aklan"
PABULUM DRUGSTORE,"Yulod Drive, Brgy. Quezon, Arevalo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
FARMACIA TUPAS,"Barangay 1 Poblacion, Hinoba-An, Negros Occidental, Hinoba-An (ASIA, Negros Occidental"
MCV DRUGSTORE,"PUROK PAGLAUM BARANGAY BATO, Sagay City, Negros Occidental"
"MerryMart Grocery Centers, Inc.","Cor. De Leon & Quezon Sts., Brgy. Kauswagan, Iloilo City, Iloilo"
HAWIHALI PHARMA AND MEDICAL SUPPLIES TRADING,"PUROK 4, BRGY. IV, Himamaylan City, Negros Occidental"
VICWIN PHARMACY,"Brgy. Poblacion II, Enrique B. Magalona, Negros Occidental"
PETER &amp; PHARIZ DRUGSTORE,"Tupas St., Barangay 5,, Tigbauan, Iloilo"
AL KAWTHER PHARMACY,"Barangay Bancal, Carles, Iloilo"
FARMACIA ESCORPION,"Rizal St., Brgy. 2, Poblacion, Igbaras, Iloilo"
Franz N' Roses Pharmacy,"Brgy. Flores, City Proper, Iloilo City, Iloilo"
DB Pharmacy,"Poblacion, San Rafael, Iloilo"
"Rose Pharmacy, Incorporated","MJD Bldg., San Jose Street, San Jose Ward (Poblacion), Pototan, Iloilo"
Angefel Pharmacy,"ngay Corner Real-Sto. Domingo Sts. Purok 3 (Pob), San Joaquin, Iloilo"
KLMN Pharmacy,"Purok 3 Quadra Montelibano St., Granada, Bacolod City, Negros Occidental"
Farmacia Belle,"D.b Oñate St., Concepcion, Iloilo"
MEDVALUE PHARMACY,"Poblacion, Tibiao, Antique, Western Visayas (Region VI), 5707, Tibiao, Antique"
RA IMPERIAL PHARMACY AND GENERAL MERCHANDISE,"BANGA PUBLIC MARKET, JP RIZAL ST., POBLACION, Banga, Aklan"
Sebastian Drugstore,"Brgy. Aganan, Pavia, Iloilo"
SUPER K DRUG CORPORATION,"DR. GONZALES STREET, Kalibo, Aklan"
